,Small-Low,Small-High,Big-Low,Big-High,Market ,Riskfree Rate
196306,-1.32,-1.74,-2.32,-0.45,-1.77,0.23
196307,-1.08,-1.14,-0.03,-1.60,-0.12,0.27
196308,4.45,5.74,5.40,7.41,5.32,0.25
196309,-3.07,-1.93,-1.05,-1.81,-1.3,0.27
196310,1.16,2.72,3.86,2.13,2.82,0.29
196311,-2.87,-0.33,-0.25,0.63,-0.58,0.27
196312,0.35,0.27,2.05,1.93,2.12,0.29
196401,0.77,4.04,2.68,2.63,2.54,0.3
196402,1.58,4.15,1.42,4.49,1.8,0.26
196403,0.61,5.23,0.92,2.98,1.72,0.31
196404,-1.69,-1.43,0.42,-0.90,0.39,0.29
196405,0.92,2.15,1.54,4.23,1.68,0.26
196406,1.31,1.97,1.67,2.36,1.57,0.3
196407,1.56,2.65,1.91,2.22,2.04,0.3
196408,-1.46,-1.22,-1.22,-1.29,-1.16,0.28
196409,3.49,3.60,2.35,5.51,2.97,0.28
196410,1.03,2.30,0.29,1.32,0.88,0.29
196411,-0.07,0.09,0.50,-3.65,0.29,0.29
196412,0.41,-1.54,1.12,-2.03,0.34,0.31
196501,6.91,6.62,3.95,4.62,3.82,0.28
196502,3.69,4.33,0.57,0.30,0.74,0.3
196503,0.91,1.51,-1.15,0.39,-0.98,0.36
196504,2.99,5.34,3.82,2.87,3.42,0.31
196505,-0.08,-1.34,-0.27,-2.23,-0.46,0.31
196506,-9.95,-8.59,-4.57,-4.78,-5.16,0.35
196507,2.55,4.09,1.34,4.13,1.74,0.31
196508,6.74,5.09,2.94,2.50,3.06,0.33
196509,3.88,3.82,3.79,3.59,3.17,0.31
196510,5.97,6.31,2.84,5.49,2.91,0.31
196511,4.02,4.71,-0.01,-0.30,0.32,0.35
196512,3.87,4.63,0.85,4.07,1.34,0.33
196601,4.30,6.91,-0.20,4.27,1.1,0.38
196602,3.68,3.50,-1.61,-0.65,-0.86,0.35
196603,-0.45,-2.04,-1.54,-4.01,-2.13,0.38
196604,5.68,5.54,2.41,1.55,2.48,0.34
196605,-9.96,-10.33,-4.19,-7.05,-5.25,0.41
